Date / Time	City	State	Shape	Duration	Summary	Posted
7/3/15 21:30	Pawtucket	RI	Light	~30 minutes	Possible UFO or military aircraft above McCoy Stadium after the Pawtucket Red Sox - Scranton Willkes-Barre Rail Riders baseball game.	7/6/15
6/26/15 1:05	Coventry	RI	Other	20 seconds	Driving down I-95 S, coming home from a friend's passing exit 6a I took a picture with my phone of the moon because it was eluminingat	7/3/15
6/24/15 9:46	Providence	RI	Light	5 minutes	I seen a bright blue light that seemed to get dim then glow red then started moving at a slow pace then 2 other pulsating lights coming	7/3/15
6/5/15 22:50	South Kingstown	RI	Light	2 seconds	At the above time and date, a bright light, blueish-white, streaked overhead, going S to N. ((NUFORC Note: Possible meteor?? PD))	6/15/15
6/5/15 13:00	Providence	RI	Unknown	5 minutes	Multiple reflective objects high in the sky.	6/5/15
6/4/15 22:30	Tiverton	RI	Circle	1 hour	Seven glowing lights appear in the sky and each disappear and reappear multiple times within about an hour in Tiverton, RI.	7/10/15
5/30/15 22:00	Providence	RI	Circle	10 seconds	I was outside talking to my father with my aunt and my little cousin I look to the right of me I thought it was firework coming in the	6/5/15
5/30/15 12:32	Riverside	RI	Formation	unknown	Something strange in the sky.	11/19/15
5/1/15 20:37	Pawtucket	RI	Light	30 seconds	Extremely small light moving at a constant speed like an airplane, but extremely far in the skies.	5/8/15
4/23/15 0:00	Middletown	RI	Unknown	44 years known	Satellite Imagery of the course of 44 years.	4/23/15
2/27/15 3:50	South Kingstown	RI	Other	30 seconds	Small sparkling lights in the air/sky.	3/6/15
1/2/15 6:09	North Kingstown	RI	Light	30 seconds	2 separate sightings of medium brightness star lights traveling at high speed and great distance and making 90deg turns	1/7/15
12/14/14 4:33	Rumford	RI	Light	2 seconds	An apparent shooting star that had a U-shaped trajectory.	12/18/14
12/12/14 20:25	Pawtucket	RI	Oval		4 oval shaped blue lights in the sky circling and in a pattern of coming all together. ((NUFORC Note: Advertising lights. PD))	12/18/14
11/29/14 19:45	North Providence	RI	Circle	60+ minutes	I was in my backyard and I saw 4 balls of light dancing together in the sky. ((NUFORC Note: Advertising lights?? PD))	12/5/14
11/29/14 5:15	Cumberland	RI	Circle	6 minutes	Leaving my house for coffee the noticed a ball of light extremely quiet no noise also big in size flying S the as 1 object.	12/5/14
11/16/14 18:15	Coventry	RI	Fireball	3 minutes	I was walking my dogs on this particular night and observed what looked like a plane taking off from Green Airport.	11/21/14
10/31/14 21:50	Charlestown	RI	Unknown	7 seconds	Heard a power down of an engine in the sky with no visible object and slight home power flicker	11/6/14
